카드종류,신용카드사명,신용카드번호,승인일자,사업자등록번호,거래처명,거래처유형,공급가액,세액,봉사료,합계금액,부가세공제여부,부가세유형,계정과목,품목(적요),수 량,단 가,대표자,업 태,종 목,사업장주소,부서/사원
1,,본인77*,2025/07/13,602-09-47764,소나무약국,,8000,0,,8000,공제,58,811,"소나무약국 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/13,559-30-01755,봉봉스테이션 용두산점,,2727,273,,3000,공제,57,811,"봉봉스테이션 용두산점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/13,559-30-01755,봉봉스테이션 용두산점,,2727,273,,3000,공제,57,811,"봉봉스테이션 용두산점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/13,559-30-01755,봉봉스테이션 용두산점,,2727,273,,3000,공제,57,811,"봉봉스테이션 용두산점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/13,602-85-21467,롯데쇼핑(주)롯데마트 광복점(매장),,9081,909,,9990,공제,57,811,"롯데쇼핑(주)롯데마트 광복점(매장) 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/13,602-85-21467,롯데쇼핑(주)롯데마트 광복점(매장),,10909,1091,,12000,공제,57,811,"롯데쇼핑(주)롯데마트 광복점(매장) 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/11,105-87-65162,쿠팡,,8909,891,,9800,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/12,105-87-65162,쿠팡,,8318,832,,9150,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/11,105-87-65162,쿠팡,,2709,271,,2980,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/11,105-87-65162,쿠팡이츠,,17272,1728,,19000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/13,516-68-00505,GS25 비프광장점,,2000,200,,2200,공제,57,811,"GS25 비프광장점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/13,602-85-16703,롯데백광복 ) 남포당,,19363,1937,,21300,공제,57,811,"롯데백광복 ) 남포당 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/13,602-85-16703,롯데백광복 ) 남포당,,7272,728,,8000,공제,57,811,"롯데백광복 ) 남포당 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/14,604-90-25240,한빛내과의원,,6100,0,,6100,공제,58,811,"한빛내과의원 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/14,605-15-12440,해정약국,,6100,0,,6100,공제,58,811,"해정약국 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/14,691-05-00780,세븐일레븐 초량오거리점,,7000,700,,7700,공제,57,811,"세븐일레븐 초량오거리점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/14,105-87-65162,쿠팡,,8800,880,,9680,공제,57,811,"쿠팡 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/14,105-87-65162,쿠팡이츠,,19545,1955,,21500,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/14,105-87-65162,쿠팡이츠,,10909,1091,,12000,공제,57,811,"쿠팡이츠 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/15,782-04-02092,세븐일레븐 초량육거리점,,43636,4364,,48000,공제,57,811,"세븐일레븐 초량육거리점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/15,691-05-00780,세븐일레븐 초량오거리점,,2909,291,,3200,공제,57,811,"세븐일레븐 초량오거리점 카드사용 (일시불)",,,,,,,,
1,,본인77*,2025/07/15,242-61-00172,혜민약국,,6000,0,,6000,공제,58,811,"혜민약국 카드사용 (일시불)",,,,,,,,
